id,android_id,time_stamp,x,y,z,notes,created_at,updated_at,csv
2320,41af43bb3f9077ea,1423098456822,0.28424072,-0.047454834,9.912506,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2321,41af43bb3f9077ea,1423098457335,0.28007507,-0.043884277,9.90715,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2322,41af43bb3f9077ea,1423098457850,0.2854309,-0.051620483,9.87085,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2323,41af43bb3f9077ea,1423098458365,0.29257202,-0.05102539,9.901199,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2324,41af43bb3f9077ea,1423098458880,0.2776947,-0.038528442,9.920837,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2325,41af43bb3f9077ea,1423098459397,0.28424072,-0.052215576,9.907745,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2326,41af43bb3f9077ea,1423098459909,0.30685425,-0.0337677,9.892273,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2327,41af43bb3f9077ea,1423098460424,0.29852295,-0.055786133,9.900604,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2328,41af43bb3f9077ea,1423098460937,0.3104248,-0.05935669,9.920242,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2329,41af43bb3f9077ea,1423098461452,0.30685425,-0.054595947,9.877991,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2330,41af43bb3f9077ea,1423098461965,0.2955475,-0.026626587,9.93631,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2331,41af43bb3f9077ea,1423098462481,0.29852295,-0.071258545,9.876205,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2332,41af43bb3f9077ea,1423098462997,0.30387878,-0.052215576,9.97261,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2333,41af43bb3f9077ea,1423098463515,0.286026,-0.059951782,9.871445,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2334,41af43bb3f9077ea,1423098464026,0.2955475,-0.033172607,9.923813,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2335,41af43bb3f9077ea,1423098464541,0.28840637,-0.034362793,9.882751,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2336,41af43bb3f9077ea,1423098465054,0.27293396,-0.06530762,9.973206,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2337,41af43bb3f9077ea,1423098465568,0.30625916,-0.045074463,9.897629,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2338,41af43bb3f9077ea,1423098466085,0.28900146,-0.06352234,9.880371,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2339,41af43bb3f9077ea,1423098466598,0.30804443,-0.04626465,9.879776,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2340,41af43bb3f9077ea,1423098467113,0.3032837,-0.04269409,9.916077,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
